"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"A FELLOWS CONSULTANCIES LTD","10204544","Active","Private limited company","","","","70229","62 Honeybourne Road Halesowen B63 3EY","B63 3EY","70","2016","5","27","","","","52.4471991","-2.0427179",
"MURRELL DESIGN LIMITED","11872012","Active","Private limited company","","","","74100","3 Lyttleton Court Birmingham Street Halesowen B63 3HN","B63 3HN","74","2019","3","9","","","","52.449773","-2.049054",
"DOLPHIN TEC LIMITED","12878520","Active","Private limited company","","","","96090","8-9 Borough Court Grammar School Lane Halesowen West Midlands B63 3SW","B63 3SW","96","2020","9","14","","","","52.4520004","-2.0525531",
"S MARWAHA MEDICAL LIMITED","12210516","Active","Private limited company","","","","86220","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","86","2019","9","17","","","","52.45096","-2.05285",
"CASE GEAR LIMITED","7822333","Active","Private limited company","","","","46510","Unit 1 Antler Buildings Bromsgrove Road Halesowen B63 3HJ","B63 3HJ","46","2011","10","25","","","","52.44871","-2.04494",
"CASTLECROFT GARAGE LIMITED","1465492","Active","Private limited company","","","","45112","King Edward House 82 Stourbridge Road Halesowen B63 3UP","B63 3UP","45","1979","12","7","","","","52.45292388888889","-2.057268666666667",
"ANDERSON NOBLE LIMITED","6395904","Active","Private limited company","","","","68209","C/O Feridax (1957) Ltd Park Lane Halesowen B63 2NT","B63 2NT","68","2007","10","10","","","","52.4595837","-2.0950925",
"BREDON STORES LIMITED","9498151","Active","Private limited company","","","","47110","227 Hagley Road Hayley Green Halesowen B63 1ED","B63 1ED","47","2015","3","19","","","","52.4371459","-2.0773996",
"PK RETAIL DEVELOPMENTS LIMITED","10072015","Active","Private limited company","","","","68209","227 Hagley Road Hayley Green Halesowen B63 1ED","B63 1ED","68","2016","3","18","","","","52.4371459","-2.0773996",
"SPEXMANIAX LIMITED","7142738","Active","Private limited company","","","","47782","358 Hagley Road Halesowen B63 4JT","B63 4JT","47","2010","2","2","","","","52.442856","-2.066371",
"C L CONSULTING SERVICES LIMITED","10245598","Active","Private limited company","","","","74902","Church Court Stourbridge Road Halesowen B63 3TT","B63 3TT","74","2016","6","22","","","","52.45096","-2.05285",
