"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"OC KENT LIMITED","12844621","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2020","8","28","","","","52.4750369","-1.8978225",
"SAWLANI HOLDINGS LIMITED","12379542","Active","Private limited company","","","","68209","14 Pebble Mill Road Birmingham B5 7SA","B5 7SA","68","2019","12","30","","","","52.452271999999994","-1.9127974",
"HYDECARE LTD","12554087","Active","Private limited company","","","","46750 47910","15 The Boulevard 160 Hemisphere Apartments Birmingham B5 7SU","B5 7SU","46 47","2020","4","14","","","","52.45408628571429","-1.9052132857142856",
"HC NAIL STUDIO LIMITED","12597071","Active","Private limited company","","","","96020","74 Bristol Street Birmingham B5 7AH","B5 7AH","96","2020","5","12","","","","52.471752","-1.89939",
"DAS CONSULTANCY LTD","10993874","Active","Private limited company","","","","62020","119 Pershore Road Birmingham B5 7NX","B5 7NX","62","2017","10","3","","","","52.463637600000006","-1.9008876000000001",
"FIVE STAR HOLDINGS (MIDLANDS) LIMITED","10994970","Active","Private limited company","","","","99999","87 Macdonald Street Birmingham B5 6TN","B5 6TN","99","2017","10","4","","","","52.47047500000001","-1.8926564285714285",
"PROF DRIVERS LTD","11006223","Active","Private limited company","","","","62090","Flat 111 Century Tower Dollery Drive Birmingham B5 7TG","B5 7TG","62","2017","10","10","","","","52.4561512","-1.9088682000000001",
"PATTY MEN EVENTS LTD","12088762","Active","Private limited company","","","","56210","5 Shaws Passage Digbeth Birmingham B5 5JG","B5 5JG","56","2019","7","6","","","","52.47849","-1.890555",
"THE STAR (KIDLINGTON) LTD","12133887","Active","Private limited company","","","","56103","C/O Tan And Co 5th Floor, Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2019","8","1","","","","52.4750369","-1.8978225",
"LI & HIEW LIMITED","11519368","Active","Private limited company","","","","69201","7th Floor Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","69","2018","8","15","","","","52.4750369","-1.8978225",
"CC WREXHAM LIMITED","11017290","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2017","10","17","","","","52.4750369","-1.8978225",
"MC CHELLASTON LIMITED","11033485","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2017","10","26","","","","52.4750369","-1.8978225",
"HM PHARM LTD","11059245","Active","Private limited company","","","","86900","55 Pavenham Drive Edgbaston Birmingham B5 7TN","B5 7TN","86","2017","11","10","","","","52.452743500000004","-1.9108526666666663",
"HAPPY HOUSE 88 LIMITED","11256336","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2018","3","15","","","","52.4750369","-1.8978225",
"BLUE SERVE LTD","11381395","Active","Private limited company","","","","85600","Sutarn Business Centre 54 Bissell Street Birmingham B5 7HP","B5 7HP","85","2018","5","24","","","","52.46958833333333","-1.8924883333333333",
"SCANTECH DIGITAL LTD","11420330","Active","Private limited company","","","","74209 74909","321 Bradford Street Birmingham B5 6ET","B5 6ET","74 ","2018","6","18","","","","52.474787","-1.889292",
"SKYLINX LTD","11150286","Active","Private limited company","","","","46900 62090","428 Orion Building 90 Navigation Street Birmingham B5 4AJ","B5 4AJ","46 62","2018","1","15","","","","52.477639","-1.902178",
"EASE HOME LETTINGS LTD","11480015","Active","Private limited company","","","","98000","98 Bristol Road Birmingham B5 7XH","B5 7XH","98","2018","7","24","","","","52.46231681818181","-1.9040000909090913",
"FC518 LTD","11482047","Active","Private limited company","","","","56101","25 Essex Street Birmingham B5 4TR","B5 4TR","56","2018","7","25","","","","52.47362414285715","-1.8984957142857144",
"NXEC TRAINS LIMITED","5876737","Active","Private limited company","","","","74990","National Express House Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","74","2006","7","14","","","","52.47537288235293","-1.8885931764705883",
"CHRIST APOSTOLIC CHURCH (BETHEL) - BIRMINGHAM","5898568","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","94910","230 Pershore Road Edgbaston Birmingham B5 7PG","B5 7PG","94","2006","8","7","","","","52.459470599999996","-1.9033183999999999",
"APPSLYNX LTD","7377260","Active","Private limited company","","","","62020","161 Bristol Road Edgbaston Birmingham B5 7UA","B5 7UA","62","2010","9","15","","","","52.45927028571429","-1.9074965714285714",
"BAR & GRILL 1977 LTD","12948167","Active","Private limited company","","","","56101 56103 56290","86 Bristol Street Birmingham B5 7AH","B5 7AH","56  ","2020","10","13","","","","52.471752","-1.89939",
"NW NEWPORT LIMITED","12670620","Active","Private limited company","","","","56103","Suite B 8th Floor Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2020","6","15","","","","52.4750369","-1.8978225",
"ASPIRE PRO-SERV LTD","12212923","Active","Private limited company","","","","68320","225-227 Bristol Road Birmingham B5 7UB","B5 7UB","68","2019","9","18","","","","52.456371285714276","-1.9103119999999998",
"AR WYKEN LIMITED","12189334","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2019","9","4","","","","52.4750369","-1.8978225",
"CLEAN STOCK LIMITED","12200831","Active","Private limited company","","","","46900","Saturn Centre Bissell Street Birmingham B5 7HP","B5 7HP","46","2019","9","11","","","","52.46958833333333","-1.8924883333333333",
"PURE PEARL LTD","12307517","Active","Private limited company","","","","56103","C/O Tan And Co 5th Floor, Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2019","11","11","","","","52.4750369","-1.8978225",
"DIGBETH BUSINESS FORUM CIC","11316693","Active","Private limited by guarantee without share capital","Community Interest Company (CIC)","","","82990","122 Fazeley Street Birmingham B5 5RS","B5 5RS","82","2018","4","18","","","","52.478874","-1.8833374999999999",
"LONG CHINA LTD","11317413","Active","Private limited company","","","","56102","A208 Hurst Street Birmingham B5 4TD","B5 4TD","56","2018","4","18","","","","52.474768","-1.897239",
"CSC BURTON LIMITED","10909177","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2017","8","10","","","","52.4750369","-1.8978225",
"DISTINTO COLLECTION LIMITED","11631556","Active","Private limited company","","","","45111 45112 45200","45 Pickford Street Birmingham B5 5QH","B5 5QH","45  ","2018","10","19","","","","52.478730999999996","-1.8850392",
"EDUCATION NETWORK SERVICE LIMITED","11647258","Active","Private limited company","","","","85590","26 Moat Lane Birmingham B5 5BD","B5 5BD","85","2018","10","29","","","","52.47663316666666","-1.8923298333333334",
"JG BIRMINGHAM LIMITED","11651493","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2018","10","31","","","","52.4750369","-1.8978225",
"AZ086 LIMITED","12254642","Active","Private limited company","","","","96090","Unit 9 Pickford Street Birmingham B5 5QH","B5 5QH","96","2019","10","10","","","","52.478730999999996","-1.8850392",
"MOSELEY & DISTRICT ACCOUNTANTS LIMITED","10063811","Active","Private limited company","","","","69201","Floor 3 5 Moat Lane Digbeth Birmingham B5 6BH","B5 6BH","69","2016","3","15","","","","52.476785250000006","-1.892656125",
"GREENFIELD MEDICAL LTD","12290426","Active","Private limited company","","","","86210","119 Pershore Road Edgbaston Birmingham B5 7NX","B5 7NX","86","2019","10","30","","","","52.463637600000006","-1.9008876000000001",
"METSTAR DESIGNS LIMITED","10095900","Active","Private limited company","","","","46690","97 Bissell Street Birmingham B5 7HP","B5 7HP","46","2016","3","31","","","","52.46958833333333","-1.8924883333333333",
"AFRICAN CULTURAL EXCHANGE LIMITED","3471844","Active","Private limited by guarantee without share capital","","","","90010","The Link Dance Space Ground Floor 54-7 Floodgate  Street B5 5SL","B5 5SL","90","1997","11","26","","","","52.4764094","-1.883668",
"PREMIUM SHADES LTD","13245389","Active","Private limited company","","","","82990","Sunglasses Kiosk Bullring Shopping Centre Lower Mall Birmingham B5 4BA","B5 4BA","82","2021","3","4","","","","52.4775484","-1.89368075",
"RASHID EXCHANGE LIMITED","4453288","Active","Private limited company","","","","64999","119 Pershore Road Birmingham B5 7NX","B5 7NX","64","2002","5","31","","","","52.463637600000006","-1.9008876000000001",
"YOSHE ST MARTINS LTD","12820486","Active","Private limited company","","","","96020","Unit 4 St Martins Market Gloucester St Birmingham B5 4QJ","B5 4QJ","96","2020","8","18","","","","0","0",
"HALOW (BIRMINGHAM)","8248116","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","84230","St Martins Youth Centre Gooch Street Highgate Birmingham B5 7HE","B5 7HE","84","2012","10","10","","","","52.46902845454545","-1.8944335454545453",
"BRADFORD STREET PROPERTIES LLP","OC320999","Active","Limited liability partnership","","",""," ","321 Bradford Street Birmingham West Midlands B5 6ET","B5 6ET","","2006","7","17","","","","52.474787","-1.889292",
"MUTHERS LIMITED","5346151","Active","Private limited company","","","","90030","14 Rea Street South Digbeth Birmingham B5 6LB","B5 6LB","90","2005","1","28","","","","52.47095614285714","-1.8903878571428572",
"BIRMINGHAM & SOLIHULL WOMEN'S AID","3509538","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","55900 96090","Ryland House 44-48 Bristol Street Birmingham B5 7AA","B5 7AA","55 96","1998","2","12","","","","52.472465299999996","-1.8991597000000002",
"ESS EYECARE LTD","9955324","Active","Private limited company","","","","86900","3 Pavenham Drive Birmingham B5 7TN","B5 7TN","86","2016","1","18","","","","52.452767800000004","-1.9125029999999998",
"GATA (UK) LIMITED","7834579","Active","Private limited company","","","","53100","119 Pershore Road Edgbaston Birmingham B5 7NX","B5 7NX","53","2011","11","3","","","","52.463637600000006","-1.9008876000000001",
"WARMAN CNC LIMITED","8335612","Active","Private limited company","","","","32990","213 Moseley Street Birmingham B5 6LE","B5 6LE","32","2012","12","18","","","","52.47240999999999","-1.8885314000000002",
"RR EVESHAM RESTAURANT LTD","13791699","Active","Private limited company","","","","56101","25 Smallbrook Queensway Birmingham B5 4HE","B5 4HE","56","2021","12","9","","","","52.47507245454545","-1.8993126363636363",
"FORK LIFT RECRUITMENT & TRAINING LIMITED","5895567","Active","Private limited company","","","","78200","Cannon House 43-44 New Bartholomew Street Birmingham B5 5QS","B5 5QS","78","2006","8","3","","","","52.479474666666675","-1.8887950000000002",
"ASHTON ENGINEERING COMPANY LIMITED","196387","Active","Private limited company","","","","47990","20 Floodgate Street Birmingham West Midlands B5 5SS","B5 5SS","47","1924","3","14","","","","52.4761505","-1.8838278000000002",
"NB MIDLANDS LIMITED","13789225","Active","Private limited company","","","","56101","8.02 The Southside Building 8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2021","12","8","","","","52.4750369","-1.8978225",
"TONGXING LIMITED","12245314","Active","Private limited company","","","","46900 47210","Unit 4 64 Barford Street Digbeth Birmingham B5 6AH","B5 6AH","46 47","2019","10","4","","","","52.47169444444445","-1.8918144444444447",
"BM3 ARCHITECTURE LIMITED","3458383","Active","Private limited company","","","","71111 71112","28 Pickford Street Birmingham B5 5QH","B5 5QH","71 ","1997","10","31","","","","52.478730999999996","-1.8850392",
"PIXELCOUNT LTD","13692970","Active","Private limited company","","","","70229","110e The Jubilee Centre 130 Pershore Street Birmingham B5 6ND","B5 6ND","70","2021","10","20","","","","52.47244708333334","-1.8938155833333334",
"OP TELFORD LIMITED","13650377","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2021","9","29","","","","52.4750369","-1.8978225",
"KOTWALL OPERATIONS LIMITED","11982991","Active","Private limited company","","","","68320","2nd Floor  Kotwall House Wrottesley Street Birmingham B5 4RT","B5 4RT","68","2019","5","7","","","","52.47543","-1.897381",
"DUCKS BATH LTD","11720845","Active","Private limited company","","","","68320","90 Digbeth Birmingham B5 6DY","B5 6DY","68","2018","12","10","","","","52.47581319999999","-1.88826",
"AC WORCESTER LIMITED","12207340","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2019","9","13","","","","52.4750369","-1.8978225",
"HW (JOHNSTONE) LIMITED","10767419","Active","Private limited company","","","","68320","Suite B 8th Floor Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","68","2017","5","12","","","","52.4750369","-1.8978225",
"NORTHWEST NEOGLORY LTD","9507239","Active","Private limited company","","","","47890","35-40 Rea Street Birmingham B5 6HT","B5 6HT","47","2015","3","24","","","","52.47396957142856","-1.8889787142857144",
"MORTONS TRAVEL LIMITED","7922241","Active","Private limited company","","","","49390","National Express House Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","49","2012","1","24","","","","52.47537288235293","-1.8885931764705883",
"LKH MIDLANDS LIMITED","12679143","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2020","6","18","","","","52.4750369","-1.8978225",
"W L HILLSIDE INVESTMENT LIMITED","10744397","Active","Private limited company","","","","68100 68209 68320 85600","Suiteb Floor6 Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","68   85","2017","4","27","","","","52.4750369","-1.8978225",
"CENTRALA CIC","8043154","Active","Private limited by guarantee without share capital","Community Interest Company (CIC)","","","47250 63990 88990 90020","Unit 4 Minerva Works 158 Fazeley Street Birmingham B5 5RT","B5 5RT","47 63 88 90","2012","4","24","","","","52.479059400000004","-1.8830567999999999",
"TURNEX LIMITED","11932839","Active","Private limited company","","","","62020 68320","31 Bradford Street Birmingham B5 6HX","B5 6HX","62 68","2019","4","8","","","","52.47431175","-1.88928625",
"THE ASSOCIATION OF DANCE OF THE AFRICAN DIASPORA","5941330","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","90020","Dance Hub Hurst Street Birmingham B5 4TB","B5 4TB","90","2006","9","20","","","","52.47427145454546","-1.8981447272727274",
"H. LUCKETT & CO. LIMITED","1072023","Active","Private limited company","","","","49390","National Express House Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","49","1972","9","14","","","","52.47537288235293","-1.8885931764705883",
"HS2 TRAVEL SERVICES LTD","13763186","Active","Private limited company","","","","49390","22 Princess Road Birmingham B5 7PY","B5 7PY","49","2021","11","24","","","","52.464743","-1.8957222000000002",
"WONDERWRIGHT BRAND CONSULTANCY LIMITED","8347727","Active","Private limited company","","","","70229 74100","G2 Tubeworks Unit G2 48-52 Floodgate Street Birmingham B5 5SL","B5 5SL","70 74","2013","1","4","","","","52.47651114285714","-1.8830465714285716",
"NATIONAL EXPRESS LEISURE LIMITED","3625281","Active","Private limited company","","","","79120","National Express House Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","79","1998","9","2","","","","52.47537288235293","-1.8885931764705883",
"SOLENT COACHES LIMITED","3931439","Active","Private limited company","","","","49390","National Express House Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","49","2000","2","23","","","","52.47537288235293","-1.8885931764705883",
"COLISEUM COACHES LIMITED","752569","Active","Private limited company","","","","49390","National Express Limited Birmingham Coach Station Mill Lane Digbeth Birmingham B5 6DD","B5 6DD","49","1963","3","7","","","","52.47537288235293","-1.8885931764705883",
"THERE GOES LTD","10358880","Active","Private limited company","","","","56102 56103 56210 56290","Centre City Tower 5-7 Hill Street Birmingham B5 4UA","B5 4UA","56   ","2016","9","5","","","","52.47604914285713","-1.8986108571428573",
"SIGMA CAR SALES LTD","12370379","Active","Private limited company","","","","45112","25b Floodgate Street Birmingham B5 5SL","B5 5SL","45","2019","12","18","","","","52.47651114285714","-1.8830465714285716",
"GAIJIN SUSHI LTD","11003512","Active","Private limited company","","","","56101","78 Bristol Street Birmingham B5 7AH","B5 7AH","56","2017","10","9","","","","52.471776","-1.899423",
"HMS CARS LTD","11239803","Active","Private limited company","","","","45112 47910","96e Bissell Street Birmingham B5 7HP","B5 7HP","45 47","2018","3","7","","","","52.46958833333333","-1.8924883333333333",
"RUMORI LIMITED","9320348","Active","Private limited company","","","","86900","334 Bristol Road Birmingham B5 7SN","B5 7SN","86","2014","11","20","","","","52.44788266666667","-1.9232632222222226",
"THWIP LIMITED","8934442","Active","Private limited company","","","","59120","1 West Drive Edgbaston B5 7RR","B5 7RR","59","2014","3","12","","","","52.45382576923077","-1.909220769230769",
"MATERIAL SCIENCE BURNLEY LIMITED","1739855","Active","Private limited company","","","","70221","Unit B5 Unit B5 Farrington Close Burnley BB11 5SH","B11 5SH","70","1983","7","15","","","","53.7789033","-2.2734905",
"RIGHT SECURITY AND VENTURES LTD","6856248","Active","Private limited company","","","","46610 80100","26 Moat Lane Birmingham B5 5BD","B5 5BD","46 80","2009","3","24","","","","52.47663316666666","-1.8923298333333334",
"DESIGN & BUILD (ULLENHALL) LTD","12511431","Active","Private limited company","","","","41100","78 Hill Street Birmingham B5 4AH","B5 4AH","41","2020","3","11","","","","52.47747914285714","-1.9013007142857141",
"WMCS (SMITHSWOOD) LIMITED","4917801","Active","Private limited company","","","","47110","78 Hill Street Birmingham West Midlands B5 4AH","B5 4AH","47","2003","10","1","","","","52.47747914285714","-1.9013007142857141",
"FALCONS TRANSPORT LIMITED","8291660","Active","Private limited company","","","","49410","201-205 Barford Street Birmingham B5 7EP","B5 7EP","49","2012","11","13","","","","52.46969185714285","-1.8928379999999998",
"AVONSTAR TRADING COMPANY LIMITED","1700119","Active","Private limited company","","","","25990","44 Barn Street Digbeth Birmingham B5 5QB","B5 5QB","25","1983","2","17","","","","52.4783314","-1.8844322000000002",
"ESSESYSTEMS LIMITED","12594727","Active","Private limited company","","","","62012 62020 72110 72190","119 Pershore Road Birmingham B5 7NX","B5 7NX","62  72 ","2020","5","11","","","","52.463637600000006","-1.9008876000000001",
"THREE OGRES LTD","11367376","Active","Private limited company","","","","93290","The Floodgate 104-106 Floodgate Street Birmingham B5 5SR","B5 5SR","93","2018","5","17","","","","52.476419166666666","-1.88418725",
"DIGITAX SERVICES LTD","12377580","Active","Private limited company","","","","69201 69202","1 Southacre Avenue Edgbaston Birmingham B5 7DF","B5 7DF","69 ","2019","12","24","","","","52.469076400000006","-1.8964786",
"SB BROADWAY LIMITED","10493167","Active","Private limited company","","","","56103","74 Bristol Street Birmingham B5 7AH","B5 7AH","56","2016","11","23","","","","52.471752","-1.89939",
"BEIJING SPICES LIMITED","11703271","Active","Private limited company","","","","56103","74 Bristol Street Birmingham B5 7AH","B5 7AH","56","2018","11","29","","","","52.471752","-1.89939",
"HLHP BIRMINGHAM LIMITED","11997320","Active","Private limited company","","","","56101","21 Ladywell Walk The Aacadian Birmingham B5 4ST","B5 4ST","56","2019","5","15","","","","52.474993923076916","-1.8963735384615386",
"NIGHTSCENE LIMITED","1100167","Active","Private limited company","","","","56302","51-63 Smallbrook Queensway Birmingham B5 4HX","B5 4HX","56","1973","3","6","","","","52.475786","-1.897513",
"WEST MIDLANDS HAZARDS TRUST","4201648","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","86900","The Warehouse Asbestos Support Central England 54-57 Allison Street Birmingham B5 5TH","B5 5TH","86","2001","4","19","","","","52.478423","-1.889577",
"LARNHEATH LIMITED","3697383","Active","Private limited company","","","","46170","78 Hill Street Birmingham B5 4AH","B5 4AH","46","1999","1","19","","","","52.47747914285714","-1.9013007142857141",
"FIRST EDUCATION CENTRE LIMITED","10744208","Active","Private limited company","","","","85590","Suite B 8th Floor Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","85","2017","4","27","","","","52.4750369","-1.8978225",
"LATIF ENTERPRISES LIMITED","6652432","Active","Private limited company","","","","70229","58 Princess Road Edgbaston Birmingham B5 7PU","B5 7PU","70","2008","7","22","","","","52.4630188","-1.8970787999999998",
"T&F PRODUCTIONS LTD","9581714","Active","Private limited company","","","","60200","26a Oxford Street Birmingham B5 5NR","B5 5NR","60","2015","5","8","","","","52.4772558","-1.8868610000000001",
"COMMUNITY AERO-KICK LTD","8958416","Active","Private limited company","","","","93110","Unit W2 1st Flr Saturn Facility Centre, Bissell Street Birmingham B5 7HP","B5 7HP","93","2014","3","25","","","","52.46958833333333","-1.8924883333333333",
"BARMASTER INVESTMENTS LIMITED","10716851","Active","Private limited company","","","","56302","Sidewalk 125-135 Hurst Street Birmingham B5 6SE","B5 6SE","56","2017","4","8","","","","52.473094","-1.895733",
"KANG811 LTD","13739131","Active","Private limited company","","","","47910 52290","22 Stratford House Road Birmingham B5 7EZ","B5 7EZ","47 52","2021","11","12","","","","52.4674478","-1.898695",
"OE BRISTOL LIMITED","11314211","Active","Private limited company","","","","56103","Suite B 8th Floor Albany House 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2018","4","17","","","","52.4750369","-1.8978225",
"BIG GREEN TRANSPORT LIMITED","7518249","Active","Private limited company","","","","79120","Unit F4 The Arch 48-52 Floodgate Street Birmingham B5 5SL","B5 5SL","79","2011","2","4","","","","52.47651114285714","-1.8830465714285716",
"AXIOM SPECIAL ADVISORY SERVICES LTD","8694109","Active","Private limited company","","","","70229 71111 74902","321 Bradford Street Birmingham B5 6ET","B5 6ET","70 71 74","2013","9","17","","","","52.474787","-1.889292",
