"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"WILLIAM MARSTON LIMITED","140172","Active","Private limited company","","","","46410","70 Fazeley Street Birmingham B5 5RD","B5 5RD","46","1915","5","3","","","","52.480128750000006","-1.886449625",
"JACKDAW (FASTENERS) LIMITED","487125","Active","Private limited company","","","","2874","C/O Rsm Robson Rhodes Centre City Tower 7 Hill Street B5 4UU","B5 4UU","28","1950","10","7","","","","52.476085","-1.8984913581365301",
"SOUTHFIELDS COACHWORKS LIMITED","667954","Active","Private limited company","","","","3420","C/O Rsm Robson Rhodes Llp City Centre Tower 7 Hill Street Birmingham B5 4UU","B5 4UU","34","1960","8","17","","","","52.476085","-1.8984913581365301",
"KINGSBRIDGE PAINTING LIMITED","3126806","Active","Private limited company","","","","43341","11 Shaws Passage Digbeth Birmingham B5 5JG","B5 5JG","43","1995","11","10","","","","52.478362","-1.890205",
"EXPRESS POLYTHENE LIMITED","1051687","Active","Private limited company","","","","46900","79-107 Barford Street Birmingham B5 6AH","B5 6AH","46","1972","4","26","","","","52.47169444444445","-1.8918144444444447",
"ABC PUBLISHERS LIMITED","3471222","Active","Private limited company","","","","58190","212 Gooch Street Digbeth Birmingham B5 7HY","B5 7HY","58","1997","11","25","","","","52.46785485714286","-1.8936844285714287",
"ABLE CORPORATION LIMITED","10284472","Active","Private limited company","","","","68209","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","68","2016","7","18","","","","52.4750369","-1.8978225",
"GLOBAL KIDNEY FOUNDATION","10389721","Active","Private Limited Company by guarantee without share capital, use of 'Limited' exemption","","","","88100 88990","Smithfield House Digbeth Birmingham B5 6BS","B5 6BS","88 ","2016","9","22","","","","52.475969","-1.890904",
"SZ (BHX) LIMITED","10411631","Active","Private limited company","","","","69202 82990","202 Barford Street Birmingham B5 7EP","B5 7EP","69 82","2016","10","5","","","","52.46969185714285","-1.8928379999999998",
"RUIN BARS LIMITED","10445936","Active","Private limited company","","","","56302","The Ruin 92 Floodgate Street Birmingham B5 5SR","B5 5SR","56","2016","10","26","","","","52.476419166666666","-1.88418725",
"KH 88 LIMITED","10454995","Active","Private limited company","","","","56101","41-43 Hurst Street Birmingham B5 4BJ","B5 4BJ","56","2016","11","1","","","","52.47481366666668","-1.8978856666666664",
"STAX CREATIONS LIMITED","8844429","Active","Private limited company","","","","31090","Smithfield Garage Meriden Street Birmingham B5 5LS","B5 5LS","31","2014","1","14","","","","52.476765944444445","-1.8900443888888891",
"JBM RADIOLOGY & ENDOSCOPY SERVICES LIMITED","7209984","Active","Private limited company","","","","86101","211 Bristol Road Edgbaston Birmingham B5 7UB","B5 7UB","86","2010","3","31","","","","52.45747057142858","-1.9094060000000002",
"VSBS SOLUTIONS LTD","7837495","Active","Private limited company","","","","86900","14 Pebble Mill Road Birmingham B5 7SA","B5 7SA","86","2011","11","7","","","","52.452271999999994","-1.9127974",
"GLENN HOWELLS ARCHITECTS (LONDON) LTD","8051871","Active","Private limited company","","","","71111","321 Bradford Street Digbeth Birmingham B5 6ET","B5 6ET","71","2012","5","1","","","","52.474787","-1.889292",
"ISLAMIC RELIEF CLOTHING COLLECTIONS LTD.","7868931","Active","Private limited company","","","","38320","19 Rea Street South Digbeth Birmingham B5 6LB","B5 6LB","38","2011","12","2","","","","52.47095614285714","-1.8903878571428572",
"WILLIAM MORRIS ROLLING MILLS LIMITED","82762","Active","Private limited company","","","","2744","C/O Rsm Robson Rhodes Centre City Tower 7 Hill Street Birmingham B5 4UU","B5 4UU","27","1904","12","3","","","","52.476085","-1.8984913581365301",
"BIRA DIRECT LIMITED","739251","Active","Private limited company","","","","46900","225 Bristol Road Edgbaston Birmingham B5 7UB","B5 7UB","46","1962","10","30","","","","52.45649579999999","-1.9102016",
"TRAVEL WEST MIDLANDS LIMITED","775806","Active","Private limited company","","","","74990","National Express House Digbeth Birmingham B5 6DD","B5 6DD","74","1963","10","1","","","","52.47537288235293","-1.8885931764705883",
"JUST FOR YOU SERVICE LIMITED","6781399","Active","Private limited company","","","","47110","Basement 2 12 Pershore Street Birmingham B5 4RU","B5 4RU","47","2008","12","31","","","","52.476234","-1.896578",
"CLEAR HOUSING LTD","10121684","Active","Private limited company","","","","55900 68310 68320","225-227 Bristol Road Edgbaston Edgbaston Birmingham B5 7UB","B5 7UB","55 68 ","2016","4","13","","","","52.456371285714276","-1.9103119999999998",
"NASCL LIMITED","10416645","Active","Private limited company","","","","82990","88 Macdonald Street Birmingham B5 6TN","B5 6TN","82","2016","10","7","","","","52.47047500000001","-1.8926564285714285",
"DIGILIFE LTD","9728453","Active","Private limited company","","","","86220","6 Priory Road Birmingham B5 7RH","B5 7RH","86","2015","8","12","","","","52.455273399999996","-1.9080634",
"C6 LTD","12749194","Active","Private limited company","","","","47910","81 St. John's Walk Birmingham B5 4TF","B5 4TF","47","2020","7","16","","","","52.473539826086956","-1.8968245217391304",
"AL CAFE LIMITED","12099148","Active","Private limited company","","","","56102 56103","77a Wrentham Street Birmingham B5 6QP","B5 6QP","56 ","2019","7","12","","","","52.4705956","-1.8954229999999999",
"HALAL MEAT MARKET LTD","12778982","Active","Private limited company","","","","46320 46360 46380","96 Bissell Street Birmingham B5 7HP","B5 7HP","46  ","2020","7","29","","","","52.46958833333333","-1.8924883333333333",
"SCIENCE PRACTICAL SIMULATOR LTD","12806110","Active","Private limited company","","","","58290 62011","Flat 40 Michael Court 115 Bristol Road Birmingham B5 7TS","B5 7TS","58 62","2020","8","11","","","","52.46239200000001","-1.9048884285714285",
"LH LEICESTER LIMITED","12814198","Active","Private limited company","","","","56103","8.02 The Southside Building 31 Hurst Street Birmingham B5 4BD","B5 4BD","56","2020","8","14","","","","52.4750369","-1.8978225",
"MHR ACCOUNTANCY SERVICES LTD","12843566","Active","Private limited company","","","","69202 69203","1 Southacre Avenue Edgbaston Birmingham B5 7DF","B5 7DF","69 ","2020","8","28","","","","52.469076400000006","-1.8964786",
"FIRST POINT FOODS LTD","12843812","Active","Private limited company","","","","46380","180-184 Barford Street Birmingham B5 7EP","B5 7EP","46","2020","8","28","","","","52.46969185714285","-1.8928379999999998",
