"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"MEGA SOURCE LTD","15265746","Active","Private limited company","","","","47910","140 Pool Lane Oldbury B69 4QS","B69 4QS","47","2023","11","7","","","","52.4919355","-2.015184181818182",
"COS INVESTMENT PROPERTYS LTD","15269646","Active","Private limited company","","","","68201","53 Arden Grove Oldbury B69 4SU","B69 4SU","68","2023","11","8","","","","52.491594","-2.012697",
"THE ORTHOTICS CLINIC LIMITED","15271151","Active","Private limited company","","","","86210","11 Acacia Close Tividale Oldbury B69 2JA","B69 2JA","86","2023","11","8","","","","52.5150534","-2.0470498",
"MENDREW LTD","15272076","Active","Private limited company","","","","86900","28 Brades Rise Oldbury B69 2HG","B69 2HG","86","2023","11","9","","","","52.5061596","-2.0313912",
"VICTOR EPHRAIMS REAL ESTATE LIMITED","15285250","Active","Private limited company","","","","68201 68209 68320","100 Bhullar Way Oldbury B69 2GL","B69 2GL","68  ","2023","11","14","","","","52.5078171","-2.0340242",
"TIVIDALE FRIED CHICKEN LTD","15286237","Active","Private limited company","","","","56103","51 Wheatsheaf Road Oldbury B69 1SL","B69 1SL","56","2023","11","15","","","","52.50462","-2.054175",
"CLAIM SURGEONS LTD","14691019","Active","Private limited company","","","","66220","9 Asquith Drive Tividale Oldbury B69 3LL","B69 3LL","66","2023","2","27","","","","52.5141101","-2.037892",
"TUSKERS CARE SOLUTIONS LIMITED","14951663","Active","Private limited company","","","","87200","14 Saladin Avenue Oldbury B69 1EE","B69 1EE","87","2023","6","21","","","","52.4918676","-2.0288619",
"JASWAL DEVELOPMENTS LTD","14951858","Active","Private limited company","","","","68100","14 Macmillan Close Tividale Oldbury B69 3JT","B69 3JT","68","2023","6","21","","","","52.5162158","-2.0409589",
"ALINEA DATA SCIENCE LIMITED","14954446","Active","Private limited company","","","","62020 70229","3b Swallowfield Courtyard Wolverhampton Road Oldbury West Midlands B69 2JG","B69 2JG","62 70","2023","6","22","","","","52.49494","-2.027",
"PANDOTA LTD","14961273","Active","Private limited company","","","","47910","19 Sunrise Court Dudley Road East Oldbury B69 3FF","B69 3FF","47","2023","6","26","","","","52.51392","-2.03905",
"CODE FUSE LTD","14973424","Active","Private limited company","","","","62012 62090 73110","1 Ivy House Road Oldbury B69 1HJ","B69 1HJ","62  73","2023","7","1","","","","52.497013","-2.031722",
"TAXI RENTALS MIDLANDS LTD","14976811","Active","Private limited company","","","","49320 77110","18 St. Brades Close Tividale Oldbury B69 1NX","B69 1NX","49 77","2023","7","3","","","","52.5006426","-2.0394804",
"LUKX BEDROOMS AND KITCHEN LTD","14998359","Active","Private limited company","","","","16230","Unit 9 Fountain Lane Oldbury B69 3BH","B69 3BH","16","2023","7","12","","","","52.5088157","-2.0162365",
"LV ROBINSON LTD","14809614","Active","Private limited company","","","","96020","74 Peel Way Tividale Oldbury B69 3JX","B69 3JX","96","2023","4","17","","","","52.5136108","-2.037083",
"HUMMINGBIRD HEELS LTD","14815436","Active","Private limited company","","","","47721","48 Hilton Road Tividale Oldbury B69 1JU","B69 1JU","47","2023","4","19","","","","52.5049531","-2.0393532",
"TJK TRANSPORT U.K. LTD","14826922","Active","Private limited company","","","","53201","24 Sorrel Close Tividale Oldbury B69 2HZ","B69 2HZ","53","2023","4","25","","","","52.5150979","-2.048666",
"SKILL EXPLORER LIMITED","14828496","Active","Private limited company","","","","88910","22 Cotswold Close Oldbury B69 1FB","B69 1FB","88","2023","4","26","","","","52.4916956","-2.0278034",
"R G WALKER CONSULTANTS LIMITED","15099778","Active","Private limited company","","","","27120 35110 62020 70229","40 Tividale Road Tividale Oldbury B69 2LG","B69 2LG","27 35 62 70","2023","8","28","","","","52.513759100000016","-2.06025146",
"JOHN HAND CAR WASH LTD","15105105","Active","Private limited company","","","","45200","90 Dudley Road West Tividale Oldbury B69 2HU","B69 2HU","45","2023","8","30","","","","52.513418","-2.0465999374999995",
"ESTHETIC SMILE CARE LTD","15115980","Active","Private limited company","","","","96090","6 Morgan Close Oldbury B69 2GA","B69 2GA","96","2023","9","5","","","","52.50680033333333","-2.034287",
"PLUMTREE PROPERTY GROUP LTD","15116939","Active","Private limited company","","","","43290","78 Birmingham Street Oldbury B69 4EB","B69 4EB","43","2023","9","5","","","","52.50269516666666","-2.0096215",
"RYAN SHIPPY LIMITED","15118707","Active","Private limited company","","","","71129","23 Mary Road Tividale Oldbury B69 1RR","B69 1RR","71","2023","9","6","","","","52.5066088","-2.0438025",
"BAJWA & NAJRAN GROUP LTD","15127099","Active","Private limited company","","","","64209","4 Martley Road Oldbury B69 1DZ","B69 1DZ","64","2023","9","10","","","","52.49300390909091","-2.0324942727272726",
"BEST RELOADTYKE7 LTD","15148258","Active","Private limited company","","","","96020","152 Titford Road Oldbury B69 4QE","B69 4QE","96","2023","9","19","","","","52.488597909090906","-2.0183183636363635",
"GD & SONS  PROPERTY LTD","14895695","Active","Private limited company","","","","68209 68320","37 Shelsley Avenue Oldbury Birmingham B69 1BQ","B69 1BQ","68 ","2023","5","26","","","","52.49076","-2.03215",
"T&T REPAIR & PARTS LTD","14895957","Active","Private limited company","","","","45200","Unit 1 Imex Industrial Estate Union Road Oldbury B69 3EX","B69 3EX","45","2023","5","26","","","","52.51385","-2.02336",
"ALL WASTE REMOVAL & PROPERTY MAINTENANCE LTD","14909481","Active","Private limited company","","","","38110 49420","38 Bredon Road Oldbury B69 1EP","B69 1EP","38 49","2023","6","1","","","","52.4941019","-2.0354541",
"MM GLAZING LTD","14926645","Active","Private limited company","","","","41202","290 Newbury Lane Oldbury B69 1JJ","B69 1JJ","41","2023","6","9","","","","52.4947195","-2.0381374",
"FIRST CLASS CONCIERGE LIMITED","14929389","Active","Private limited company","","","","96090","172 Regent Road Tividale Oldbury B69 1XQ","B69 1XQ","96","2023","6","12","","","","52.5120245","-2.0554067",
"HILTLAND CONSULTANCY LIMITED","14933357","Active","Private limited company","","","","70229","Unit 5 Anglo African Industrial Estate Union Road Oldbury B69 3EX","B69 3EX","70","2023","6","13","","","","52.5130699","-2.0238336881979695",
"SAFFRON IMPORTS AND EXPORTS LTD","15035498","Active","Private limited company","","","","46900","58 Temple Way Tividale Oldbury B69 3JN","B69 3JN","46","2023","7","28","","","","52.5136108","-2.037083",
"FOLLECTIVE LTD","15036880","Active","Private limited company","","","","47910","Unit 3 Demuth Way Oldbury B69 4LT","B69 4LT","47","2023","7","29","","","","52.4961036","-2.0179372",
"SAFBLD LTD","15042914","Active","Private limited company","","","","41201","166 Dudley Road East Oldbury B69 3DS","B69 3DS","41","2023","8","1","","","","52.50864615384615","-2.026512076923077",
"GSAPE LTD","15042941","Active","Private limited company","","","","46450","166 Dudley Road East Oldbury B69 3DS","B69 3DS","46","2023","8","1","","","","52.50864615384615","-2.026512076923077",
"RHIANNA’S POSH PAWS BOUTIQUE LIMITED","15070350","Active","Private limited company","","","","47990","18 Harlech Close Tividale Oldbury B69 1TE","B69 1TE","47","2023","8","14","","","","52.510404199999996","-2.0580378",
"YEOLDEFOUNDRY LIMITED","15073127","Active","Private limited company","","","","56302","9 Darbys Hill Road Tividale Oldbury B69 1SE","B69 1SE","56","2023","8","15","","","","52.50229283333333","-2.048166666666667",
"JKM CARE SERVICES LTD","14873891","Active","Private limited company","","","","87300","95 Pool Lane Oldbury B69 4QS","B69 4QS","87","2023","5","16","","","","52.4919355","-2.015184181818182",
"SAVIN CONSTRUCTION LTD","14877052","Active","Private limited by guarantee without share capital","","","","23620 41202","48 Sycamore Road Oldbury B69 4TD","B69 4TD","23 41","2023","5","17","","","","52.4877806","-2.0140634",
"SPICE BOX LANGLEY LTD","14894164","Active","Private limited company","","","","56103","31 Langley High Street Oldbury B69 4SN","B69 4SN","56","2023","5","25","","","","52.491594","-2.012697",
"GANDLONDONTECH LIMITED","14901250","Active","Private limited company","","","","62020","76 Temple Way Tividale Oldbury B69 3JN","B69 3JN","62","2023","5","29","","","","52.5136108","-2.037083",
"HOUSE OF LOVEE LTD","14908669","Active","Private limited company","","","","56101","34 Birmingham Road Oldbury B69 4EE","B69 4EE","56","2023","6","1","","","","52.50269516666666","-2.0096215",
"DICKINSON STUART LIMITED","14917362","Active","Private limited company","","","","47990","First Floor Black Country House Rounds Green Road Oldbury B69 2DG","B69 2DG","47","2023","6","6","","","","52.50248471428571","-2.0258485714285714",
