"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"AWS RECYCLING LTD","4706979","Active","Private limited company","","","","38110 38320","57 St Clements Road Aws Recycling Ltd 57 St Clements Road Birmingham B7 5AF","B7 5AF","38 ","2003","3","21","","","","52.49651077777778","-1.8684669999999999",
"ALLIANCE SALES LIMITED","4790440","Active","Private limited company","","","","25990","30-32 Cato Street Nechells Birmingham B7 4TS","B7 4TS","25","2003","6","6","","","","52.489375800000005","-1.870318",
"COTTERDALE INVESTMENTS LIMITED","8634981","Active","Private limited company","","","","68209","3a Wing Yip Business Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","68","2013","8","2","","","","52.497507413793095","-1.8711112068965519",
"MATADOR MEDIA LTD","8646129","Active","Private limited company","","","","58190","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","58","2013","8","12","","","","52.49467","-1.879562",
"NAME OF THRONES LIMITED","8668130","Active","Private limited company","","","","47429","Unit 12  Onyx House Avenue Close Birmingham B7 4NU","B7 4NU","47","2013","8","29","","","","52.49467","-1.879562",
"M&E ASSET MANAGEMENT LTD","8231739","Active","Private limited company","","","","77390","19 Cato Street Birmingham B7 4TS","B7 4TS","77","2012","9","27","","","","52.489352666666676","-1.8695295333333333",
"CAPITAL CORPORATION (HOLDINGS) LIMITED","2647582","Active","Private limited company","","","","99999","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","99","1991","9","20","","","","52.505579","-1.85667",
"ASTON REINVESTMENT GUARANTEE COMPANY LTD","2422872","Active","Private limited by guarantee without share capital","","","","64999","Faraday Wharf Holt Street Innovation Birmingham Campus Birmingham B7 4BB","B7 4BB","64","1989","9","14","","","","52.48882646666665","-1.8874950666666672",
"THE CLOUD ONE GROUP LIMITED","1827239","Active","Private limited company","","","","90020","24 Proctor Street Birmingham B7 4EE","B7 4EE","90","1984","6","25","","","","52.490761142857146","-1.8815439999999999",
"CANDELA TRADITIONAL LIGHTING LIMITED","2063453","Active","Private limited company","","","","27400","319 Long Acre Waterlinks Nechells Birmingham B7 5JT","B7 5JT","27","1986","10","10","","","","52.50336766666666","-1.8670438333333335",
"MIDLAND TANK AND IRON PLATE COMPANY LIMITED(THE)","581107","Active","Private limited company","","","","25290 25620 25990","222-230 Windsor Street Birmingham B7 4LE","B7 4LE","25  ","1957","3","28","","","","52.4897611","-1.8829899",
"REGENCY SCREENPRINT LIMITED","3236903","Active","Private limited company","","","","32990","25 Adams Street Nechells Birmingham B7 4LT","B7 4LT","32","1996","8","12","","","","52.488858875","-1.8833673750000004",
"F.S. (MOTOR BODIES) LIMITED","1450431","Active","Private limited company","","","","7499","Argyle Street Birmingham B7 5TJ","B7 5TJ","74","1979","9","25","","","","52.5062922","-1.861805",
"CAPITAL CORPORATION LIMITED","1533947","Active","Private limited company","","","","99999","Genting Club Star City Watson Road Birmingham B7 5SA","B7 5SA","99","1980","12","11","","","","52.505579","-1.85667",
"ARYANA POST LTD","10276653","Active","Private limited company","","","","46180 56290","Unit 4a Nechells Place Birmingham B7 5AR","B7 5AR","46 56","2016","7","13","","","","52.49391192307692","-1.8675332307692305",
"BPS PUMPS LIMITED","10352411","Active","Private limited company","","","","28131","Unit 44 Mount Street Business Centre Mount Street Nechells B7 5RD","B7 5RD","28","2016","8","31","","","","52.49778995","-1.8645555",
"KGW HOLDINGS LIMITED","10421235","Active","Private limited company","","","","43999","90 Dollman Street Birmingham B7 4RP","B7 4RP","43","2016","10","11","","","","52.4867349","-1.8715971999999996",
"CAPTO ENTERPRISE LTD","8609310","Active","Private limited company","","","","70229","Unit 12 Avenue Close Birmingham B7 4NU","B7 4NU","70","2013","7","15","","","","52.49467","-1.879562",
"RCARE (MIDLANDS) LIMITED","7215842","Active","Private limited company","","","","99999","Salts Healthcare Richard Street Aston Birmingham B7 4AA","B7 4AA","99","2010","4","7","","","","52.49420200000001","-1.8822544",
"DIGITAL NATIVE (UK) LIMITED","8698252","Active","Private limited company","","","","62020","Room 207 Icentrum Holt Street Birmingham B7 4BP","B7 4BP","62","2013","9","19","","","","52.48930828571429","-1.888353",
"PAUL ANDREW INTERNATIONAL LIMITED","8704367","Active","Private limited company","","","","46420","29 Inkerman Street Nechells Birmingham B7 4SB","B7 4SB","46","2013","9","24","","","","52.4877745882353","-1.8684683529411763",
"NEW HARVEST WHOLESALE LTD","8712962","Active","Private limited company","","","","46380 47290","No 7 Cheston Road Birmingham B7 5EA","B7 5EA","46 47","2013","10","1","","","","52.49790644444444","-1.8764611111111111",
"ALAN TYLER LIMITED","7225725","Active","Private limited company","","","","86900","Onyx House 12 Phoenix Business Park Avenue Close Aston Birmingham B7 4NU","B7 4NU","86","2010","4","16","","","","52.49467","-1.879562",
"BANFF RETAIL LIMITED","7755823","Active","Private limited company","","","","47110","11 Bloomsbury Street Birmingham B7 5BX","B7 5BX","47","2011","8","30","","","","52.49409685714285","-1.8722298571428573",
"CLOUDTEACH LTD.","7820388","Active","Private limited company","","","","62012","Birmingham Innovation Campus Faraday Wharf Holt Street Birmingham B7 4BB","B7 4BB","62","2011","10","24","","","","52.48882646666665","-1.8874950666666672",
"SOUNDSCAPE BARS AND CLUBS LTD","7831392","Active","Private limited company","","","","56301 96090","Onyx House 12 Phoenix Business Park Avenue Close Birmingham B7 4NU","B7 4NU","56 96","2011","11","1","","","","52.49467","-1.879562",
"W & L CONSULTANCY LIMITED","8049641","Active","Private limited company","","","","68100 69109","Wing Yip Business Centre Suite 12 Thimble Mill Lane Birmingham B7 5HD","B7 5HD","68 69","2012","4","27","","","","52.497507413793095","-1.8711112068965519",
"LIN'S WOK LEE LTD","10242619","Active","Private limited company","","","","56103","Unit 3a Wing Yip Centre 278 Thimble Mill Lane Nechells Birmingham B7 5HD","B7 5HD","56","2016","6","21","","","","52.497507413793095","-1.8711112068965519",
"MIRZYME THERAPEUTICS LIMITED","10133310","Active","Private limited company","","","","72110","Faraday Wharf Innovation Birmingham Campus Holt Street Birmingham B7 4BB","B7 4BB","72","2016","4","19","","","","52.48882646666665","-1.8874950666666672",
